zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
80851006,,41754,0,0,0,0,0,0,0,0,nan,0,0
80851007,,1460,0,0,0,0,0,0,0,0,nan,0,0
80851010,,3812,0,0,0,0,0,0,0,0,nan,0,0
80851011,,3715156,0,0,0,0,0,0,0,0,nan,0,0
80871006,,385795,0,0,0,0,0,0,0,0,nan,0,0
80871007,,233,0,0,0,0,0,0,0,0,nan,0,0
80871008,,13170,0,0,0,0,0,0,0,0,nan,0,0
80891001,,20588,0,0,0,0,0,0,0,0,nan,0,0
80891005,,8606,0,0,0,0,0,0,0,0,nan,0,0
80891006,,7419,0,0,0,0,0,0,0,0,nan,0,0
80891007,,2867,0,0,0,0,0,0,0,0,nan,0,0
80891008,,127055,0,0,0,0,0,0,0,0,nan,0,0
80891010,,416,0,0,0,0,0,0,0,0,nan,0,0
80911001,,16574,0,0,0,0,0,0,0,0,nan,0,0
80911004,,73,0,0,0,0,0,0,0,0,nan,0,0
80911006,,9911,0,0,0,0,0,0,0,0,nan,0,0
80911007,,53524,0,0,0,0,0,0,0,0,nan,0,0
80911008,,157627,0,0,0,0,0,0,0,0,nan,0,0
80911010,,200,0,0,0,0,0,0,0,0,nan,0,0
80911011,,159,0,0,0,0,0,0,0,0,nan,0,0
80911012,,58623,0,0,0,0,0,0,0,0,nan,0,0
80931001,,747,0,0,0,0,0,0,0,0,nan,0,0
80931004,,10,0,0,0,0,0,0,0,0,nan,0,0
80931006,,8,0,0,0,0,0,0,0,0,nan,0,0
80931007,,1,0,0,0,0,0,0,0,0,nan,0,0
80931008,,466,0,0,0,0,0,0,0,0,nan,0,0
80931010,,1,0,0,0,0,0,0,0,0,nan,0,0
80931011,,8,0,0,0,0,0,0,0,0,nan,0,0
80951006,,17,0,0,0,0,0,0,0,0,nan,0,0
80971001,,13,0,0,0,0,0,0,0,0,nan,0,0
80971004,,1,0,0,0,0,0,0,0,0,nan,0,0
80971006,,1752,0,0,0,0,0,0,0,0,nan,0,0
80971008,,42,0,0,0,0,0,0,0,0,nan,0,0
80971010,,122484,0,0,0,0,0,0,0,0,nan,0,0
80971011,,3645,0,0,0,0,0,0,0,0,nan,0,0
80991001,,71993,0,0,0,0,0,0,0,0,nan,0,0
80991006,,1,0,0,0,0,0,0,0,0,nan,0,0
80991007,,170265,0,0,0,0,0,0,0,0,nan,0,0
80991008,,7817,0,0,0,0,0,0,0,0,nan,0,0
81011001,,1918,0,0,0,0,0,0,0,0,nan,0,0
81011002,,400,0,0,0,0,0,0,0,0,nan,0,0
81011004,,215,0,0,0,0,0,0,0,0,nan,0,0
81011006,,2,0,0,0,0,0,0,0,0,nan,0,0
81011007,,57597,0,0,0,0,0,0,0,0,nan,0,0
81011008,,837,0,0,0,0,0,0,0,0,nan,0,0
81011010,,135,0,0,0,0,0,0,0,0,nan,0,0
81011011,,28,0,0,0,0,0,0,0,0,nan,0,0
81011012,,297,0,0,0,0,0,0,0,0,nan,0,0
81031001,,1204,0,0,0,0,0,0,0,0,nan,0,0
81031006,,558,0,0,0,0,0,0,0,0,nan,0,0
81031007,,16,0,0,0,0,0,0,0,0,nan,0,0
81031010,,157,0,0,0,0,0,0,0,0,nan,0,0
81031011,,40299,0,0,0,0,0,0,0,0,nan,0,0
81051001,,28,0,0,0,0,0,0,0,0,nan,0,0
81051003,,38615,0,0,0,0,0,0,0,0,nan,0,0
81051006,,82,0,0,0,0,0,0,0,0,nan,0,0
81051007,,340,0,0,0,0,0,0,0,0,nan,0,0
81051008,,68,0,0,0,0,0,0,0,0,nan,0,0
81051010,,53726,0,0,0,0,0,0,0,0,nan,0,0
81051011,,12,0,0,0,0,0,0,0,0,nan,0,0
81071001,,4433,0,0,0,0,0,0,0,0,nan,0,0
81071004,,14693,0,0,0,0,0,0,0,0,nan,0,0
81071006,,15,0,0,0,0,0,0,0,0,nan,0,0
81071007,,2530,0,0,0,0,0,0,0,0,nan,0,0
81071008,,58087,0,0,0,0,0,0,0,0,nan,0,0
81071010,,218720,0,0,0,0,0,0,0,0,nan,0,0
81071011,,9785,0,0,0,0,0,0,0,0,nan,0,0
81091001,,16,0,0,0,0,0,0,0,0,nan,0,0
81091003,,211,0,0,0,0,0,0,0,0,nan,0,0
81091004,,645,0,0,0,0,0,0,0,0,nan,0,0
81091005,,22978,0,0,0,0,0,0,0,0,nan,0,0
81091006,,6676,0,0,0,0,0,0,0,0,nan,0,0
81091007,,316971,0,0,0,0,0,0,0,0,nan,0,0
81091008,,923,0,0,0,0,0,0,0,0,nan,0,0
81091010,,11410,0,0,0,0,0,0,0,0,nan,0,0
81091011,,434,0,0,0,0,0,0,0,0,nan,0,0
81111001,,961,0,0,0,0,0,0,0,0,nan,0,0
81111006,,3,0,0,0,0,0,0,0,0,nan,0,0
81111008,,24716,0,0,0,0,0,0,0,0,nan,0,0
81111010,,42,0,0,0,0,0,0,0,0,nan,0,0
81111011,,1971,0,0,0,0,0,0,0,0,nan,0,0
81131001,,2,0,0,0,0,0,0,0,0,nan,0,0
