zone,label,non_null,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
800307010,,136,0,0,469.6209106,469.6209106,167.2321589,167.2321589,57.43682813,3298.989226,0.34345564,22743.57362,22743.57362
800307011,,1832,0,37.07103348,335.1925659,298.1215324,138.0473427,138.0473427,27.07111031,732.8450137,0.196100191,252902.7319,252902.7319
800308101,,3483,0,0,179.8709412,179.8709412,129.5444828,129.5444828,17.98256459,323.3726291,0.13881382,451203.4337,451203.4337
800308103,,7,0,38.65101242,79.31243896,40.66142654,58.57602746,58.57602746,15.50314445,240.3474878,0.264667051,410.0321922,410.0321922
800308105,,695,0,63.44619751,308.0900269,244.6438294,133.6837675,133.6837675,17.30873594,299.5923397,0.129475225,92910.21843,92910.21843
800308106,,4263,0,57.12903595,269.0266724,211.8976365,129.8433299,129.8433299,17.04297019,290.4628328,0.131257957,553522.1152,553522.1152
800308108,,2030,0,90.8137207,172.9275513,82.1138306,128.8002751,128.8002751,19.13340191,366.0870686,0.14855094,261464.5585,261464.5585
800308110,,6340,0,0,502.7094116,502.7094116,155.6159701,155.6159701,35.36658582,1250.795393,0.227268357,986605.2507,986605.2507
800308111,,63724,0,0,360.8027954,360.8027954,152.3217829,152.3217829,22.03007411,485.3241651,0.144628521,9706553.293,9706553.293
800308201,,22495,0,0,306.3661804,306.3661804,87.67132339,87.67132339,27.10227882,734.5335174,0.309135049,1972166.42,1972166.42
800308203,,169,0,0,123.3998413,123.3998413,51.41745561,51.41745561,16.68156239,278.2745239,0.324433837,8689.549997,8689.549997
800308205,,6733,0,24.13702202,308.0900269,283.9530049,103.0698628,103.0698628,32.80240396,1075.997706,0.318254076,693969.3863,693969.3863
800308206,,16524,0,0,231.6035614,231.6035614,88.33012406,88.33012406,31.345486,982.5394923,0.354867451,1459566.97,1459566.97
800308207,,4,0,55.50370407,83.75350952,28.24980545,70.85763645,70.85763645,13.01247747,169.32457,0.183642556,283.4305458,283.4305458
800308208,,402,0,38.02954865,146.6084442,108.5788956,116.3108059,116.3108059,16.93204251,286.6940635,0.145575833,46756.94398,46756.94398
800308210,,4723,0,64.33402252,291.239502,226.9054795,116.3748037,116.3748037,16.07556301,258.4237262,0.138136113,549638.1979,549638.1979
800308211,,10825,0,30.36363792,314.7442932,284.3806553,119.9154362,119.9154362,22.61187672,511.2969688,0.188565188,1298084.597,1298084.597
800309001,,2989,0,0,117.6917725,117.6917725,19.81701962,19.81701962,25.39086525,644.6960382,1.281265585,59233.07166,59233.07166
800309003,,449,0,0,129.844696,129.844696,59.48935564,59.48935564,44.15823456,1949.94968,0.742287996,26710.72068,26710.72068
800309005,,5,0,43.75996399,76.84342957,33.08346558,50.4266571,50.4266571,13.20850453,174.4645918,0.261934962,252.1332855,252.1332855
800309006,,4099,0,0,273.660675,273.660675,45.246446,45.246446,54.90089804,3014.108606,1.213374815,185465.1822,185465.1822
800309007,,1515,0,0,223.1098328,223.1098328,9.087079754,9.087079754,25.54766325,652.6830977,2.811427207,13766.92583,13766.92583
800309008,,1957,0,0,96.07492828,96.07492828,4.061793577,4.061793577,14.76961818,218.1416212,3.63623062,7948.930031,7948.930031
800309010,,23,0,0,278.3144531,278.3144531,133.8018706,133.8018706,118.7493582,14101.41006,0.88750148,3077.443024,3077.443024
800309011,,46,0,0,324.2546082,324.2546082,149.6979726,149.6979726,121.9851364,14880.37349,0.814875006,6886.106739,6886.106739
800309101,,9637,0,0,243.0761261,243.0761261,50.0027485,50.0027485,24.22666763,609.2455284,0.481932856,495518.0906,495518.0906
800309103,,39755,0,0,167.571991,167.571991,77.83025481,77.83025481,23.59494974,564.8137618,0.30206885,3227239.461,3227239.461
800309105,,7784,0,0,308.0900269,308.0900269,55.21936978,55.21936978,18.1501033,366.3793541,0.332027356,417884.3023,417884.3023
800309106,,210358,0,0,613.3233643,613.3233643,71.66216806,71.66216806,28.74566879,833.5351662,0.400370699,15905401.16,15905401.16
800309107,,5200,0,0,256.2926331,256.2926331,99.16167319,99.16167319,46.12847578,2130.14245,0.49607315,625989.3999,625989.3999
800309108,,5563,0,0,220.6443634,220.6443634,61.19436547,61.19436547,26.06281535,679.5573522,0.42869488,311225.4513,311225.4513
800309110,,989,0,0,469.6209106,469.6209106,156.6975521,156.6975521,54.3882631,2958.083163,0.3470907,154973.8791,154973.8791
800309111,,6978,0,0,360.8027954,360.8027954,91.9198879,91.9198879,31.28149023,1578.839481,0.291735402,802510.4953,802510.4953
800309201,,2910,0,0,108.4412842,108.4412842,42.86686218,42.86686218,18.65216001,347.903073,0.435118389,124742.5689,124742.5689
800309203,,3715,0,0,162.8278809,162.8278809,62.74349712,62.74349712,22.60233834,510.8656986,0.360233959,233092.0918,233092.0918
800309205,,4317,0,0,141.7065582,141.7065582,42.29881983,42.29881983,11.18448383,125.0926785,0.264415978,182604.0052,182604.0052
800309206,,65878,0,0,613.3233643,613.3233643,58.17566555,58.17566555,27.12480387,735.7549849,0.466256872,3832496.495,3832496.495
800309207,,1145,0,0,223.1098328,223.1098328,60.84804982,60.84804982,41.82505431,1749.335168,0.687368855,69671.01704,69671.01704
800309208,,1967,0,0,258.4046936,258.4046936,62.22784652,62.22784652,45.98220443,2114.363125,0.738932922,122402.1741,122402.1741
800309210,,22,0,165.8172913,502.7094116,336.8921203,232.8379017,232.8379017,88.68030304,7864.196147,0.380867129,5122.433838,5122.433838
800309211,,215,0,0,335.1925659,335.1925659,72.08931187,72.08931187,53.82785296,2897.437754,0.746682852,15499.20205,15499.20205
800309801,,673,0,27.32735252,73.51713562,46.1897831,37.43824054,37.43824054,5.316596263,28.26619583,0.142009779,25195.93589,25195.93589
800309803,,623,0,28.78489685,118.5163727,89.73147585,52.20398149,52.20398149,21.0167674,441.7045119,0.402589358,32523.08047,32523.08047
800309805,,237,0,23.43410492,102.1581879,78.72408298,40.48599155,40.48599155,11.79371217,139.0916466,0.291303528,9595.179996,9595.179996
800309806,,64240,0,0,285.8045044,285.8045044,55.35503421,55.35503421,22.81426937,520.4908869,0.412144436,3556007.398,3556007.398
800309807,,182,0,30.19747543,256.2926331,226.0951577,64.7385672,64.7385672,43.77793014,1916.507168,0.676226429,11782.41923,11782.41923
800309808,,897,0,26.66716576,251.8344727,225.1673069,41.27343866,41.27343866,17.46299008,304.9560224,0.423104802,37022.27448,37022.27448
800309810,,9,0,37.07197189,40.30996704,3.23799515,38.15130361,38.15130361,1.526405551,2.329913906,0.040009263,343.3617325,343.3617325
800309901,,964,0,0,90.47668457,90.47668457,38.83047241,38.83047241,8.442936664,71.28317951,0.217430697,37432.5754,37432.5754
800309903,,1147,0,0,135.8867493,135.8867493,69.77118763,69.77118763,18.67062416,348.5922063,0.267597912,80027.55221,80027.55221
800309905,,189,0,32.97047043,91.32492065,58.35445022,56.17704424,56.17704424,10.29770294,106.0426859,0.183308023,10617.46136,10617.46136
800309906,,454704,0,0,317.7954102,317.7954102,77.81954355,77.81954355,25.80661428,665.9813407,0.33162125,35384857.73,35384857.73
800309907,,577,0,0,256.2926331,256.2926331,137.2435717,137.2435717,34.35814451,1180.482094,0.25034429,79189.54084,79189.54084
800309908,,2383,0,0,258.4046936,258.4046936,65.75509974,65.75509974,21.88492248,478.949832,0.332824717,156694.4027,156694.4027
800501002,,54,0,0,52.23516083,52.23516083,47.65223736,47.65223736,6.73806658,45.40154124,0.141400844,2573.220818,2573.220818
800501004,,87,0,0,88.20167542,88.20167542,50.43341893,50.43341893,22.79943061,519.8140362,0.452069899,4387.707447,4387.707447
800501006,,1505,0,0,90.79408264,90.79408264,52.9716036,52.9716036,9.07916736,82.43127995,0.171396876,79722.26341,79722.26341
800501008,,177,0,45.60788345,66.65382385,21.0459404,50.76279027,50.76279027,3.962243211,15.69937127,0.078054086,8985.013878,8985.013878
800501012,,8,0,0,126.62854,126.62854,73.84192657,73.84192657,45.28620718,2050.840561,0.613285829,590.7354126,590.7354126
800503002,,52,0,45.61096191,70.4654541,24.85449219,49.85141952,49.85141952,3.856988529,14.87636052,0.077369683,2592.273815,2592.273815
800503004,,8,0,0,81.73992157,81.73992157,62.20238781,62.20238781,26.17130263,684.9370816,0.42074434,497.6191025,497.6191025
800503006,,1141,0,0,74.87281036,74.87281036,48.95962833,48.95962833,4.909518097,24.10336794,0.100276866,55862.93592,55862.93592
800503008,,203,0,41.26134491,51.38246536,10.12112045,45.72029478,45.72029478,2.093028092,4.380766596,0.045778972,9281.219841,9281.219841
800503012,,67,0,0,98.48792267,98.48792267,63.23793047,63.23793047,22.00348845,484.1535038,0.347947637,4236.941341,4236.941341
800504002,,30832,0,0,92.3864975,92.3864975,48.91340321,48.91340321,3.490864368,12.18613403,0.071368258,1508098.048,1508098.048
800504004,,22747,0,0,138.2602692,138.2602692,53.17478118,53.17478118,11.61161742,134.8296592,0.218367,1209566.748,1209566.748
800504006,,625663,0,0,153.6948853,153.6948853,48.73757697,48.73757697,4.529451589,20.5159317,0.09293551,30493298.62,30493298.62
