zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
806301006,,9,0,0,0,0,0,0,0,0,nan,0,0
806501001,,97343,0,0,0,0,0,0,0,0,nan,0,0
806501003,,5640,0,0,0,0,0,0,0,0,nan,0,0
806501004,,247,0,0,0,0,0,0,0,0,nan,0,0
806501006,,83,0,0,0,0,0,0,0,0,nan,0,0
806501008,,11780,0,0,0,0,0,0,0,0,nan,0,0
806501010,,43121,0,0,0,0,0,0,0,0,nan,0,0
806501011,,802,0,0,0,0,0,0,0,0,nan,0,0
806701001,,26,0,0,0,0,0,0,0,0,nan,0,0
806701006,,13805,0,0,0,0,0,0,0,0,nan,0,0
806701007,,37,0,0,0,0,0,0,0,0,nan,0,0
806701008,,1462,0,0,0,0,0,0,0,0,nan,0,0
806701009,,8026,0,0,0,0,0,0,0,0,nan,0,0
806701010,,12056,0,0,0,0,0,0,0,0,nan,0,0
806701011,,2377261,0,0,0,0,0,0,0,0,nan,0,0
806901001,,39399,0,0,0,0,0,0,0,0,nan,0,0
806901004,,1905,0,0,0,0,0,0,0,0,nan,0,0
806901005,,19,0,0,0,0,0,0,0,0,nan,0,0
806901006,,119854,0,0,0,0,0,0,0,0,nan,0,0
806901007,,1886,0,0,0,0,0,0,0,0,nan,0,0
806901008,,289408,0,0,0,0,0,0,0,0,nan,0,0
806901010,,106182,0,0,0,0,0,0,0,0,nan,0,0
806901011,,17,0,0,0,0,0,0,0,0,nan,0,0
807101001,,532968,0,0,0,0,0,0,0,0,nan,0,0
807101002,,30970,0,0,0,0,0,0,0,0,nan,0,0
807101004,,762,0,0,0,0,0,0,0,0,nan,0,0
807101006,,6,0,0,0,0,0,0,0,0,nan,0,0
807101007,,22939,0,0,0,0,0,0,0,0,nan,0,0
807101008,,262,0,0,0,0,0,0,0,0,nan,0,0
807101010,,14,0,0,0,0,0,0,0,0,nan,0,0
807101011,,190,0,0,0,0,0,0,0,0,nan,0,0
807301001,,80457,0,0,0,0,0,0,0,0,nan,0,0
807301006,,19278,0,0,0,0,0,0,0,0,nan,0,0
