Landcat,A2_y2015,A2_y2016,A2_y2017,A2_y2018,A2_y2019,A2_y2020,A2_y2021,A2_y2022,A2_y2023,A2_y2024,A2_y2025,A2_y2026,A2_y2027,A2_y2028,A2_y2029,A2_y2030,A2_y2031,A2_y2032,A2_y2033,A2_y2034,A2_y2035,A2_y2036,A2_y2037,A2_y2038,A2_y2039,A2_y2040,A2_y2041,A2_y2042,A2_y2043,A2_y2044,A2_y2045,A2_y2046,A2_y2047,A2_y2048,A2_y2049,A2_y2050
80039003,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351
80039005,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
80039006,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935,6935
80039007,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335
80039008,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413
80039011,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339
80039803,6,6,6,13,13,13,13,13,13,13,60,60,60,60,60,60,60,60,60,60,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
80039806,8478,8478,8550,8615,8679,8743,8815,8879,8951,9015,9096,9160,9296,9296,9360,9360,9496,9496,9632,9704,9883,10027,10155,10155,10155,10347,10347,10483,10547,10683,10836,10836,10972,11036,11036,11036
80039808,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
80039810,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
80038106,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80038110,26,26,26,26,26,26,0,0,72,72,72,72,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64,64,64,64
80031001,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927,3972,3972,3972,3972,3972,4053,4053,4053
80031003,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012
80031005,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699,5699
80031006,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9657,9748,9748,9748,9748,9748,9748,9748,9748
80031007,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
80031008,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843
80031010,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209,6209
80031011,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701,41701
80038101,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555
80038103,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424
80038105,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149
80038106,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344,15344
80038107,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709
80038108,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543
80038110,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1912,1912,1912,1912,1912,1912
80038111,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394,12394
80038101,3134,3134,3134,3206,3206,3172,3172,3172,3172,3172,3172,3172,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206,3206
80038103,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271
80038105,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589
80038106,6140,6140,6140,5996,5996,5958,5975,5911,5839,5775,5919,5919,5957,5957,6021,6021,6085,6085,6085,6085,6085,6085,6085,6085,6085,6085,6085,6085,6004,6004,6004,6004,6004,6004,6004,6085
80038107,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
80038108,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281
80038110,3903,3903,3903,3903,3903,3903,3929,3929,3857,3857,3857,3857,3857,3857,3857,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929
80038111,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296,43296
80038105,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
80038108,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
80038111,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068
80034001,39421,39349,39349,39349,39349,39349,39349,39349,39349,39349,39349,39349,39349,39349,39349,39349,39349,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317,39317
80034003,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401
80034005,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335
80034006,211836,211828,211692,211620,211548,211548,211484,211420,211275,211275,211275,211203,211203,211203,211203,211203,211203,211203,211203,211203,211203,211139,211139,211139,211139,211139,211067,210995,210995,210498,210426,210426,210354,210354,210001,209929
80034007,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
80034008,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759,7759
80034010,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858
80034011,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507
80035001,107204,106987,106987,106843,106780,106780,106780,106699,106621,106621,106621,106621,106621,106621,106576,106576,106576,106576,106576,106576,106576,106576,106576,106576,106576,106576,106431,106359,106231,106231,106231,106231,106167,106001,105865,105801
80035003,51005,50805,50805,50805,50796,50796,50796,50796,50796,50796,50724,50724,50652,50652,50652,50652,50652,50652,50652,50652,50652,50652,50580,50580,50580,50580,50580,50580,50580,50580,50580,50517,50364,50300,50300,49875
80035005,70033,70033,70033,70033,70006,70006,70006,70006,70006,70006,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005,70005
80035006,697799,696741,696036,695269,694616,693788,693036,692436,691956,691606,691407,691397,691414,691486,691331,691267,691195,691195,691067,691067,691075,691003,690650,690505,690152,690232,689685,689291,689163,689067,688651,687553,686855,685473,684822,684430
80035007,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508
80035008,48705,48705,48705,48587,48587,48525,48525,48461,48457,48399,48399,48399,48399,48399,48399,48399,48399,48399,48399,48399,48399,48399,48399,48399,48399,48516,48516,48510,48510,48510,48510,48510,48510,48510,48348,48284
80035010,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180,6180
80035011,48824,48824,48824,48824,48824,48824,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688,48688
80039901,535,752,752,824,887,887,887,887,965,965,965,965,965,965,965,965,965,997,997,997,997,997,997,997,997,997,1061,1133,1261,1261,1261,1261,1325,1419,1483,1547
80039903,998,998,998,998,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1079,1079,1079,1079,1079,1079,1079,1079,1079,1142,1142,1206,1206,1631
80039906,276150,277770,279325,280587,282121,283372,284541,285252,286224,287043,287972,287926,287726,287807,287670,287526,287462,287453,287317,287204,286791,285877,285061,284652,284523,283176,283740,284591,285305,286211,287091,288907,289813,291371,292430,293800
